"season","title","rating","number_of_rating","summary"
"Season 3","Boyz 4 Now","8.5","(1,113)"," Louise is horrified when she develops her first crush.    "
"Season 3","Carpe Museum","8.2","(955)"," A school trip to the museum turns wild for the Belchers.    "
"Season 3","The Unnatural","7.5","(894)"," Gene loses his confidence after playing badly during a baseball game so Linda sends him to a baseball coach.    "
"Season 4","A River Runs Through Bob","7.8","(951)"," Bob and the family face the great outdoors.    "
"Season 4","Fort Night","8.3","(980)"," Tricks and treats and lunatics abound.    "
"Season 4","Seaplane!","7.7","(903)"," Linda is bored by Bob's tired attempts at Date Night and decides to sign up for flying lessons. When Bob won't join her, she becomes the target of ""Upskirt Kurt"", the most charming pilot in the air.    "
"Season 4","My Big Fat Greek Bob","7.5","(878)"," Bob scores a temporary gig as a cook at an ""underdog"" frat house and discovers that he fits right in! Hijinks ensue as Bob and the rest of the fraternity brothers find themselves in the middle of a collegiate prank war that involves the house's most famous alumnus, Dr. Yap. Meanwhile, the kids are on a mission to invade the frat house and get in on the action.    "
"Season 4","Turkey in a Can","8.3","(991)"," Determined to have a perfect Thanksgiving, Bob meticulously prepares the family turkey. But, to his horror, he finds that someone then dumps the turkey in the toilet in an act of Thanksgiving sabotage.    "
"Season 4","Purple Rain-Union","7.5","(847)"," Linda has an upcoming 25 year reunion at Cardinal Gennaro High. Debbie, chairman of the reunion, needs entertainment for the gala. Linda's old band, The Ta Tas, are not even her 3rd choice, but she asks Linda to round up the band: Angie, Patsy, Nancy, and Gayle. Linda does not want to do it: 25 years ago, Bad Hair Day rocked the talent show; and BHD still rocks the pro circuit. The kids egg on Linda until she agrees to perform. Tina plans to babysit, so the kids plan to attend. Like Louise says, who would miss the train wreck of all train wrecks? The kids fail to ...    "
"Season 4","Bob and Deliver","8.2","(860)"," To Tina's delight, Bob becomes the substitute ""Home Ec"" teacher at her school and ends up creating a full-scale restaurant in the classroom. However, her excitement is short-lived as Bob's position causes father/daughter friction. But when Gene and Louise go to work for Bob's ""school"" restaurant, Linda must fend for herself at the family's ""other"" restaurant (aka Bob's Burgers).    "
"Season 4","Christmas in the Car","8.2","(1,000)"," After spending Christmas Eve outrunning a candy cane truck with their last-minute tree, the Belchers find that Bob's friend gets caught in the kids' Santa trap.    "
"Season 4","Slumber Party","8.2","(900)"," Linda decides to invite some of Louise's classmates over for a slumber party without her knowledge. With the prospect of being forced to endure an entire night with people she hates, Louise devises a plan to get all the girls to beg to go home. With the help of Tina and Gene, she starts to try and scare them off, but one is reluctant to go.    "
"Season 4","Presto-Tina-o","7.4","(760)"," Tina becomes a magician's assistant in order to get closer to Jimmy Jr., while Bob becomes the victim of a magician's ""curse.""    "
"Season 4","Easy Com-mercial, Easy Go-mercial","7.5","(766)"," To compete with fellow ""restaurateur,"" Jimmy Pesto, and his blowout Super Bowl event, Bob is determined to create a Bob's Burgers commercial to air during the ""big game."" In an effort to outshine Pesto, the Belchers recruit Randy, a documentarian, to assist with the filmmaking and hire on former pro football star Sandy Frye to be the celebrity endorser.    "
"Season 4","The Frond Files","8.0","(856)"," The Belcher children write fantasy essays about their school that their guidance counselor finds offensive.    "
"Season 4","Mazel Tina","8.1","(854)"," A series of mishaps leave Tina the center of attention at a classmate's Bat Mitzvah she wasn't invited to.    "
"Season 4","Uncle Teddy","8.0","(772)"," Bob and Linda ask Teddy to babysit the kids while they're on a romantic getaway at a Burger Convention. In the process, Teddy earns the title ""Uncle Teddy"" when he puts Tina's crush in his place for using her to get free burgers.    "
"Season 4","The Kids Rob a Train","8.0","(814)"," Bob, Linda, and the kids board a train for a wine tasting while the kids are put in the caboose. The kids sneak out in an attempt to steal the chocolate from the kitchen car while Bob challenges another person on the train to a contest.    "
"Season 4","I Get Psychic Out of You","7.4","(741)"," Linda is believed to be a psychic when she correctly predicts that a telemarketer is calling the restaurant.    "
"Season 4","The Equestranauts","8.1","(858)"," In an homage to the ""Bronies"" subculture, Tina attends her first Equestra-con, a convention based on her favorite animated pony show, ""The Equestranauts."" To her surprise, she finds that the show's fans are middle-aged men (called ""Equesticles""). When a powerful super-fan tricks Tina out of her rare toy pony, it's up to Bob to go undercover to get it back.    "
"Season 4","Ambergris","7.3","(741)"," Gene, Louise, and Tina discover a seaweed-covered object at the beach that turns out to be a large hunk of Ambergris - an extremely valuable, but illegal, by-product of whale poop that is used in high-end perfumes. But Louise tries to cheat Gene and Tina out of the profit she hopes to make by selling the treasure on the black market. Meanwhile, Bob and Linda deal with their psychologically unstable landlord who is building them a new bathroom.    "
"Season 4","The Kids Run Away","8.2","(813)"," Louise has a cavity, but also Dentist phobia. The family have to deal with it.    "
"Season 4","Gene It On","7.3","(739)"," Tina tries out for cheerleading, but a spirited and enthusiastic spectator Gene makes more of an impression.    "
"Season 4","Wharf Horse (or How Bob Saves/Destroys the Town - Part I)","8.1","(822)"," Motivated by the promise of a new beachside burger joint, Bob conspires with Felix to convince Mr. Fischoeder to sell Wonder Wharf. Meanwhile, Tina protests the destruction of the wharf's carousel by chaining herself to it.    "
"Season 4","World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town - Part II)","8.3","(831)"," It's Linda and the kids to the rescue when Felix takes desperate measures, and puts Bob and Mr. Fischoeder in danger.    "
"Season 5","Work Hard or Die Trying, Girl","8.1","(900)"," Gene tries to make one of his dreams a reality when he gets the opportunity to make a musical version of Die Hard at the Wagstaff Fall Festival.    "
"Season 5","Tina and the Real Ghost","7.9","(754)"," Tina begins an out-of-this-world romance with a ghost that is believed to be living in the Belcher's basement.    "
"Season 5","Friends with Burger-fits","7.6","(707)"," Bob becomes Teddy's workout buddy after finding out his burgers contributed to Teddy's bad health. The two enroll in a stuntman boot camp where their friendship is put to the test. Meanwhile, the kids make an ice rink in the freezer, with Linda running their underground ice wrestling league.    "
"Season 5","Dawn of the Peck","8.4","(877)"," While Bob is boycotting the holiday, Linda and the kids spend Thanksgiving at the First Annual Fischoeder Turk-tacular Turkey Town Festival. However, a wild bird attack leads to total mayhem.    "
"Season 5","Best Burger","8.0","(739)"," Bob is in a ""best burger"" competition, but is at risk of losing when an important part of the burger is nowhere to be found.    "
"Season 5","Father of the Bob","7.8","(747)"," At Bob's father's Christmas party, Bob and ""Big Bob"" rehash an old argument and try to outdo each other in the kitchen. Meanwhile, the kids compete to find the best gift for their dad.    "
"Season 5","Tina Tailor Soldier Spy","7.7","(686)"," After being pestered by the kids and a mistake by Gretchen, Linda decides to dye her hair full blonde. Meanwhile, when trying to quit the Thunder Girls Tina is asked to find a mole in the troop.    "
"Season 5","Midday Run","7.6","(671)"," Tina gets Gene and Louise to help ensure she gets a big hall-monitor promotion.    "
"Season 5","Speakeasy Rider","7.7","(680)"," Tina, Gene and Louise are ready to put the pedal to the metal when they join a go-kart league. Meanwhile, at the restaurant Bob and Teddy partner up to serve Teddy's home-brewed beer.    "
"Season 5","Late Afternoon in the Garden of Bob and Louise","7.8","(702)"," In order to become a member of the community garden, Bob must give Louise's enemy a job.    "
"Season 5","Can't Buy Me Math","7.9","(680)"," Tina and Darryl team up to win the Cupid's Couple contest; Linda plans Valentine's Day activities.    "
"Season 5","The Millie-churian Candiate","8.2","(721)"," Desperate to keep Millie from becoming class president and ruining the school, Tina and Louise volunteer to help run Jimmy Junior's campaign.    "
"Season 5","The Gayle Tales","7.8","(732)"," The kids compete to be their Aunt Gayle's companion for the evening.    "
"Season 5","L'il Hard Dad","7.5","(670)"," Bob becomes obsessed with his new automatic helicopter. When it falls apart for no reason, he enters into a battle with the manufacturer in order to receive a refund. Gene assists Bob in his quest, but things quickly get out of hand and end in a crazy helicopter battle. Meanwhile, Louise and Linda help Tina prepare for her oral book report.    "
"Season 5","Adventures in Chinchilla-sitting","7.5","(682)"," Bob and Linda head out on the town for a date - but to Linda's dismay, Bob's idea of romance proves ""trivial."" Meanwhile, a wild chinchilla chase ensues after the school pet that Louis was charged with watching escapes out the front door.    "
"Season 5","The Runway Club","7.8","(676)"," The kids try to escape Saturday detention so they can attend the Cotton Candy Festival.    "
"Season 5","Itty Bitty Ditty Committee","7.6","(649)"," Gene is promptly kicked out of the band he formed with Tina, Louise, Rudy, Peter, and Daryl, and proclaims he is never going to play keyboard again.    "
"Season 5","Eat, Spray, Linda","8.3","(770)"," It's Linda's birthday and Bob needs more time to plan her birthday surprise. But when he sends her out of the house as a distraction, she goes missing. Mayhem ensues as the Belchers must work together to find Linda.    "
"Season 5","Housetrap","8.6","(867)"," When a vicious storm strikes during the Belcher family's vacation at a beach house in Craggy Neck, they find themselves staying with the mysterious owner.    "
"Season 5","Hawk & Chick","8.4","(802)"," Bob and Louise are thrilled when they meet Hawk, the star of their favorite martial arts series, and are quick to offer help upon learning about his family troubles.    "
"Season 5","The Oeder Games","8.7","(834)"," With the threat of a rent increase on Ocean Avenue, Bob and the other tenants rebel. After approaching Fischoeder, the tenants find out that they will have to compete in order to convince him to keep their rents reasonable.    "
"Season 6","Sliding Bobs","7.8","(707)"," When Bob starts to lose his hair, Linda reminisces about his mustache and how it made her fall for him; the kids make up their own versions of how Bob and Linda met.    "
"Season 6","The Land Ship","7.6","(650)"," Bob thinks the upcoming Land Ship parade will increase business -- until he learns two porta-potties will be in front of his restaurant; Tina's friends tell her she is boring.    "
"Season 6","The Hauntening","9.1","(1,210)"," When Louise admits that she has never felt scared before, the family goes to a haunted house in an effort to change but mayhem ensues after their visit.    "
"Season 6","Gayle Makin' Bob Sled","7.6","(715)"," Bob goes to pick up Gayle so she does not miss the Thanksgiving celebration, but gets caught in a snowstorm coming back, leaving Linda to prepare the turkey.    "
"Season 6","Nice-Capades","7.5","(661)"," A grumpy mall Santa threatens to put Gene, Tina and Louise on the naughty list, inspiring them to arrange a musical performance in hopes of changing Santa's mind before Christmas.    "
"Season 6","The Cook, the Steve, the Gayle, & Her Lover","7.9","(661)"," When Bob throws a dinner party, Gayle takes advantage of the opportunity to introduce her new love interest to the family; a long-standing feud is revealed.    "
"Season 6","The Gene and Courtney Show","7.6","(625)"," Gene and Courtney are given the opportunity to be the new hosts of morning announcements, but their romantic history poses challenges; Tina's plan goes awry.    "
"Season 6","Sexy Dance Healing","7.6","(625)"," Bob must take legal action after he slips on the sidewalk and needs to pay for surgery; Jairo promises to heal Bob without doctors; the kids fake a law firm.    "
"Season 6","Sacred Couch","7.2","(678)"," Louise wants the family to get a new couch, but the family votes against it. So she decides to take care of the problem herself.    "
"Season 6","Lice Things Are Lice","7.6","(633)"," When Tina volunteers alongside Nurse Liz, she finds herself involved in the biggest scandal to hit Wagstaff: a lice infestation. Meanwhile, Bob makes improvements to the restaurant that end up driving customers away. Can the Belchers juggle both a crisis at the restaurant and lice?    "
"Season 6","House of 1000 Bounces","7.6","(617)"," The Belcher kids hop into action after news of a bounce house crisis at a birthday party; Bob encounters a guest at the restaurant, fixing him to face a fear.    "
"Season 6","Stand by Gene","8.2","(657)"," When Gene overhears talk about a mystical creature that lives nearby, he leads the Belcher kids and their friends on a journey to find it. Meanwhile, Linda's competitive nature takes over during downtime at the restaurant.    "
"Season 6","Wag the Hog","7.6","(588)"," The Belchers try to help Bob's friend, Critter, after he lands in jail for unpaid parking tickets; Linda takes a job as a babysitter.    "
"Season 6","The Hormone-iums","7.5","(582)"," Tina gets her wish for Wagstaff fame, but soon regrets it. Linda pursues an improbable business venture, but struggles to get it off the ground.    "
"Season 6","Pro Tiki/Con Tiki","7.5","(616)"," Bob's friend Warren comes to visit and makes an offer to invest in the restaurant; Bob is hesitant when he finds out about Warren's interior design ideas.    "
"Season 6","Bye Bye Boo Boo","7.5","(599)"," Louise enters a contest with the hopes that Tina will get to meet Boo Boo from Boyz 4 Now; Bob learns more about the history of the restaurant.    "
"Season 6","The Horse Rider-er","7.8","(621)"," Tina manages to convince her parents to send her to horse camp; but in doing so, she realizes she must end her relationship with her imaginary horse, Jericho.    "
"Season 6","Secret Admiral-irer","7.9","(606)"," Tina's ideas of love and romance are tested when she volunteers at a nursing home to earn her next Thunder Girls badge. Meanwhile, Bob makes new friends who lead him to make some questionable choices.    "
"Season 6","Glued, Where's My Bob?","9.0","(1,063)"," The Belcher children are involved in a goop war prank that takes place on the same day that a journalist is visiting the restaurant to write a profile.    "
"Season 7","Flu-ouise","8.0","(862)"," Louise comes down with the flu and falls into a wild fever dream filled with familiar faces, zany musical numbers and a crazy adventure.    "
"Season 7","Sea Me Now","7.8","(682)"," Teddy tries to impress his ex-wife by organizing a day trip on his newly refurbished boat; Tina attempts to prove she's responsible enough to have a cellphone by taking care Bob's prized eraser.    "
"Season 7","Teen-a-Witch","7.6","(667)"," When Tammy steals her idea for winning the annual Halloween costume contest, Tina turns to witchcraft.    "
"Season 7","They Serve Horses, Don't They?","7.5","(643)"," The Belchers find themselves involved in a full-blown investigation when Bob secures a new meat provider who claims to save money on every order.    "
"Season 7","Larger Brother, Where Fart Thou?","8.0","(679)"," Gene and Louise are left home alone when Tina ends up in detention, while Bob and Linda get into trouble with their accountant.    "
"Season 7","The Quirk-ducers","8.0","(656)"," The Belcher kids produce their own version of the annual Thanksgiving play and Linda finds a potato that resembles her late grandfather.    "
"Season 7","The Last Gingerbread House on the Left","8.2","(712)"," Bob gets involved in a gingerbread house competition with Mr. Fischoeder and his friends while Linda, Teddy and the kids spread Christmas cheer through caroling.    "
"Season 7","Ex Mach Tina","7.9","(648)"," After hurting her ankle, Tina enrolls in a program that enables her send a robot of herself to school and the robot gives her an unexpected breakthrough with Jimmy Jr.    "
"Season 7","Bob Actually","8.5","(781)"," With Valentine's Day around the corner, the kids find themselves in love-caused chaos and Bob comes up with a romantic gesture to impress Linda.    "
"Season 7","There's No Business Like Mr. Business Business","7.6","(608)"," Bob is skeptical about Gayle's cat Mr. Business having a career in showbiz, until it looks like the cat could have his big break.    "
"Season 7","A Few 'Gurt Men","8.1","(622)"," Louise finds herself in a predicament when she is told that she will be representing one of her biggest enemies at Wagstaff during a mock-trial.    "
"Season 7","Like Gene for Chocolate","7.4","(566)"," Gene learns that the formula for his favorite chocolate has changed, so he works with the head of the company to fix the problem. In the meantime, Bob gets wrapped up in one of Teddy's not-so-perfect plans.    "
"Season 7","The Grand Mama-Pest Hotel","7.5","(579)"," Linda chaperones Tina's weekend at a heroine convention, while Gene and Louise spend the weekend with Bob.    "
"Season 7","Aquaticism","7.6","(589)"," The Belcher kids hatch a plan to save the aquarium from closure, while Bob learns a few things about Linda's customer service skills.    "
"Season 7","Ain't Miss Debatin'","8.0","(598)"," Tina is recruited for the debate team, while Gene and Louise make a stop motion film centered on a surprising subject matter.    "
"Season 7","Eggs for Days","8.2","(621)"," At the annual Easter egg hunt, Bob and Linda have a little too much fun hiding the eggs, so the Belchers race to find the one egg rotting in its hiding place.    "
"Season 7","Zero Larp Thirty","7.7","(591)"," Linda wins a contest to spend a weekend at the home where her favorite TV show is filmed, but it doesn't quite go as planned.    "
"Season 7","The Laser-inth","8.1","(621)"," Bob and Gene go to the last-ever rock-and-roll laser show at the planetarium while Linda and the girls go out to dinner at a wacky restaurant.    "
"Season 7","Thelma & Louise Except Thelma Is Linda","8.2","(583)"," Linda could lose her position as the leader of the Wagstaff bake sale when Louise gets in trouble at school.    "
"Season 7","Mom, Lies and Videotapes","7.8","(572)"," Linda catches a cold just before the Mother's Day show at Wagstaff.    "
"Season 7","Paraders of the Lost Float","7.6","(566)"," Teddy talks Bob into entering the Bog to Beach parade even though the forecast calls for rain.    "
"Season 7","Into the Mild","7.6","(547)"," Bob realizes his dream of being an outdoorsman when the wilderness equipment store has a going out of business sale; Linda and the kids spend the night watching Aunt Gayle rehearse for her one-woman show.    "
"Season 8","Brunchsquatch","7.8","(946)"," Bob decides to serve brunch to compete with Jimmy Pesto; the Belcher kids help Mr. Fischoeder's brother hide from him.    "
"Season 8","The Silence of the Louise","8.1","(661)"," Louise enlists Millie's help to find the culprit who attacked Mr. Frond's therapy dolls.    "
"Season 8","The Wolf of Wharf Street","8.0","(634)"," On Halloween night, Linda tries to impress the kids by taking them to look for a wolf that has been terrorizing the town. Meanwhile, an injured and medicated Bob believes that Teddy has turned into a werewolf.    "
"Season 8","Sit Me Baby One More Time","7.8","(609)"," Tina starts a babysitting franchise that goes off the rails when Tammy is hired to work with her.    "
"Season 8","Thanks-hoarding","7.8","(605)"," The Belchers discover that Teddy is a secret hoarder when they reluctantly agree to pitch in for Thanksgiving with his family.    "
"Season 8","The Bleakening","8.3","(817)"," Linda wants to add some extra cheer to the holidays by throwing a holiday party. After her ornaments are stolen, Linda interrogates her guests. The children think it was ""The Bleaken"".    "
"Season 8","V for Valentine-detta","8.2","(718)"," Tina has a rough break up on Valentine's Day, so Linda and Louise take her on a girls' night out, while Bob and Gene have a trapeze experience that brings them closer.    "
"Season 8","Y Tu Ga-Ga Tambien","7.6","(562)"," Gene disapproves of a new playground game; Linda fills in for the local library storyteller.    "
"Season 8","The Secret Ceramics Room of Secrets","7.7","(527)"," The kids are tasked with giving their grandma homemade gifts for her birthday and set out to find a secret ceramics room that, according to urban legend, has been boarded up for years.    "
"Season 8","Sleeping with the Frenemy","7.5","(519)"," Tina allows Tammy to stay with the Belchers during Spring Break and fixes her up with a boy from out of town.    "
"Season 8","The Hurt Soccer","8.0","(577)"," The Belchers sign Louise up for a soccer league and must help her train for the last game of the season.    "
"Season 8","Cheer Up Sleepy Gene","7.6","(526)"," Gene is nervous about going to his first sleepover and realizes he had a right to be when things don't go as planned.    "
"Season 8","The Trouble with Doubles","7.9","(541)"," Bob and Linda get trapped in an Escape Room while on a double date with another couple. Meanwhile, Louise hosts a zombie-movie night, but Tina takes charge when the zombies prove to be too scary.    "
"Season 8","Go Tina on the Mountain","7.7","(514)"," Tina befriends a hermit living in the woods when she, Gene and Louise go to Outdoor Education; Bob and Linda see what it's like to be empty-nesters.    "
"Season 8","Are You There Bob? It's Me, Birthday","7.8","(506)"," Linda and the kids try to put together a last-minute surprise party when they forget Bob's birthday, but to do so, Linda asks Hugo to take Bob with him on his restaurant health inspections.    "
"Season 8","Boywatch","7.4","(506)"," Tina joins the Junior Lifeguards, but she struggles with the training, prompting one of her fellow junior guards to try and make her quit.    "
"Season 8","As I Walk Through the Alley of the Shadow of Ramps","7.7","(527)"," Louise gets into a turf war with a juice truck owner trying to set up shop in the Belcher's alley; Linda realizes she can't always come to her sister's defense.    "
"Season 8","Mo Mommy Mo Problems","7.7","(506)"," On Mother's Day, the Belchers wind up in a real estate scheme when attend open houses for free food and Linda meets a charming real estate agent.    "
"Season 8","Mission Impos-Slug-Ble","7.5","(497)"," Louise devises a plan to get her extensive Burobu card collection back after it's confiscated at school.    "
"Season 8","Something Old, Something New, Something Bob Caters for You","8.2","(572)"," The Belchers cater a wedding for a couple who fell in love at the restaurant.    "
"Season 9","Just One of the Boyz 4 Now for Now","7.6","(772)"," Convinced she's met the love of her life, Tina decides to disguise herself as a boy and sneak into the Boyz 4 Now auditions to find him. Back at the restaurant, Teddy asks the rest of the Belcher gang to nurse his baby rat back to health.    "
"Season 9","The Taking of Funtime One Two Three","8.5","(681)"," With help from Mr. Fischoeder, the Belcher kids devise a master plan to win the grand prize dune buggy at their local arcade; Teddy promises Bob and Linda fresh eggs if they take in a chicken.    "
"Season 9","Tweentrepreneurs","7.7","(543)"," Tina, Louise, and Gene get a taste of business when they join the school's Tweentrepeneurs club. Back at the restaurant, Bob and Linda find themselves outsmarted by a dine-and-dasher.    "
"Season 9","Nightmare on Ocean Avenue Street","8.1","(585)"," The Belcher kids set out to find the culprit who's snatching everyone's candy bags on Halloween night. Meanwhile, Teddy gets carried away when he decorates the restaurant to compete with another handyman on the street.    "
"Season 9","Live and Let Fly","7.4","(514)"," The Belcher kids' revenge plan against the school counselor gets them involved in a sibling rivalry between two pilots. Meanwhile Teddy invites Bob and Linda to a paper airplane contest.    "
"Season 9","Bobby Driver","8.0","(585)"," Bob drives a professional quilter around town when she talks him into joining her revenge plot; the kids attend a Gatsby-themed birthday party; Linda helps Teddy expand his taste palate.    "
"Season 9","I Bob Your Pardon","7.7","(510)"," The Belchers try to save a turkey from the slaughterhouse.    "
"Season 9","Roller? I Hardly Know Her!","7.3","(501)"," Gene is upset with his best friend ditching him for Courtney as a roller-dancing partner; Teddy, Linda and Bob discover someone stalking the restaurant.    "
"Season 9","UFO No You Didn't","7.4","(500)"," Tina and her new science partner create a device that allows them to communicate with aliens, but their excitement turns to fear when they receive a dangerous warning message. Meanwhile, Bob attempts to sell mini coat racks he bought.    "
"Season 9","Better Off Sled","8.1","(551)"," The Belcher kids get into a turf war with teenagers who take their usual sledding territory; Bob tries to help Linda knit three scarves before Christmas.    "
"Season 9","Lorenzo's Oil? No, Linda's","7.5","(504)"," Linda's new friend introduces her to essential oils and Aunt Gayle is convinced she must be rescued. Meanwhile, Bob and Teddy are bamboozled into performing a series of annoying favors for Mr. Huggins.    "
"Season 9","The Helen Hunt","7.9","(546)"," The Belchers help Teddy find his dream girl, but Tina believes she's found a better match for him.    "
"Season 9","Bed, Bob & Beyond","7.2","(573)"," A Valentine's Day fight between Bob and Linda has the kids feeling confused. After a failed attempt to see a movie, it's up to Tina, Louise and Gene to tell their own story as a distraction from the awkward tension.    "
"Season 9","Every Which Way but Goose","7.5","(485)"," Tina, discouraged by not being asked to prom by Jimmy Jr., forms an unhealthy attachment to a goose from the nearby park. Meanwhile, Linda joins a dating app to help Gretchen find a match.    "
